DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-01-10 00:00:00,98.825,98.77,98.83,20270300,20270600,20261200
2024-01-11 00:00:00,98.85,98.795,98.855,20270300,20270600,20261200
2024-01-12 00:00:00,98.92,98.865,98.93,20270300,20270600,20261200
2024-01-15 00:00:00,98.875,98.805,98.9,20270300,20270600,20261200
2024-01-16 00:00:00,98.87,98.8,98.895,20270300,20270600,20261200
2024-01-17 00:00:00,98.84,98.77,98.865,20270300,20270600,20261200
2024-01-18 00:00:00,98.855,98.795,98.875,20270300,20270600,20261200
2024-01-19 00:00:00,98.865,98.805,98.88,20270300,20270600,20261200
2024-01-22 00:00:00,98.88,98.825,98.895,20270300,20270600,20261200
2024-01-23 00:00:00,98.835,98.78,98.845,20270300,20270600,20261200
2024-01-24 00:00:00,98.81,98.755,98.82,20270300,20270600,20261200
2024-01-25 00:00:00,98.885,98.835,98.9,20270300,20270600,20261200
2024-01-26 00:00:00,98.87,98.81,98.885,20270300,20270600,20261200
2024-01-29 00:00:00,98.9,98.84,98.92,20270300,20270600,20261200
2024-01-30 00:00:00,98.88,98.815,98.91,20270300,20270600,20261200
2024-01-31 00:00:00,98.975,98.915,98.99,20270300,20270600,20261200
2024-02-01 00:00:00,99.01,98.95,99.035,20270300,20270600,20261200
2024-02-02 00:00:00,98.93,98.87,98.955,20270300,20270600,20261200
2024-02-05 00:00:00,98.87,98.815,98.885,20270300,20270600,20261200
2024-02-06 00:00:00,98.885,98.835,98.9,20270300,20270600,20261200
2024-02-07 00:00:00,98.905,98.855,98.92,20270300,20270600,20261200
2024-02-08 00:00:00,98.88,98.83,98.89,20270300,20270600,20261200
2024-02-09 00:00:00,98.825,98.78,98.835,20270300,20270600,20261200
2024-02-12 00:00:00,98.845,98.79,98.865,20270300,20270600,20261200
2024-02-13 00:00:00,98.925,98.87,98.935,20270300,20270600,20261200
2024-02-14 00:00:00,98.9,98.85,98.915,20270300,20270600,20261200
2024-02-15 00:00:00,98.91,98.865,98.92,20270300,20270600,20261200
2024-02-16 00:00:00,98.845,98.795,98.855,20270300,20270600,20261200
2024-02-19 00:00:00,98.85,98.8,98.86,20270300,20270600,20261200
2024-02-20 00:00:00,98.85,98.855,98.855,20270300,20270600,20261200
2024-02-21 00:00:00,98.825,98.83,98.83,20270300,20270600,20261200
2024-02-22 00:00:00,98.825,98.83,98.83,20270300,20270600,20261200
2024-02-23 00:00:00,98.865,98.88,98.87,20270300,20270600,20261200
2024-02-26 00:00:00,98.82,98.83,98.83,20270300,20270600,20261200
2024-02-27 00:00:00,98.8,98.805,98.81,20270300,20270600,20261200
2024-02-28 00:00:00,98.815,98.825,98.82,20270300,20270600,20261200
2024-02-29 00:00:00,98.86,98.87,98.865,20270300,20270600,20261200
2024-03-01 00:00:00,98.88,98.895,98.885,20270300,20270600,20261200
2024-03-04 00:00:00,98.89,98.905,98.895,20270300,20270600,20261200
2024-03-05 00:00:00,98.93,98.95,98.94,20270300,20270600,20261200
2024-03-06 00:00:00,98.935,98.95,98.95,20270300,20270600,20261200
2024-03-07 00:00:00,98.945,98.96,98.96,20270300,20270600,20261200
2024-03-08 00:00:00,99.025,99.04,99.04,20270300,20270600,20261200
2024-03-11 00:00:00,99.015,99.03,99.04,20270300,20270600,20261200
2024-03-11 23:00:00,,98.98,,20270600,20270900,20270300
